codigo,data,numero,tipo,cod_sessao,fase_sessao,num_orador,nome_orador,partido_orador,uf_orador,hora_inicio_discurso,indexacao,num_quarto,num_insercao,text,doc_id
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Sóstenes Cavalcante,PL,RJ,02/04/2025 17:12:00,"Agronegócio,Governo federal,Movimento dos Trabalhadores Rurais Sem-Terra (MST),Agricultura,Política agrícola,Setor agropecuário,Partido Liberal (PL),Invasão de terra rural
Requerimento de adiamento da discussão,Agronegócio,Pauta (processo legislativo),Tentativa (crime),Golpe de Estado (crime),Brasília (DF),anistia,Partido Liberal (PL),Projeto de lei ordinária,Ato antidemocrático",4256837,1,"O Deputado criticou o Governo Federal, acusando-o de desrespeitar o agronegócio brasileiro e de se associar a movimentos que incentivam invasões de terras produtivas, como o Movimento dos Trabalhadores Rurais Sem-Terra (MST). Ressaltou a importância do agro para a economia nacional e internacional, afirmando que o Partido Liberal (PL) é o verdadeiro aliado do setor. Explicou que o requerimento de adiamento da discussão do Projeto de Lei nº 2.088, de 2023, apresentado por seu partido, não é contra o agro, mas faz parte de uma estratégia de obstrução para pressionar o Presidente da Câmara a pautar com urgência o projeto de anistia aos réus do 8 de janeiro. Concluiu dizendo que o PL está comprometido com a defesa do agro e com a votação da anistia para o que classificou como “brasileiros presos injustamente”.",BC_4256837_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,José Nelto,UNIÃO,GO,02/04/2025 17:16:00,"Comissão especial,Proposta de Emenda à Constituição,Contribuição previdenciária,Município,parcelamento,Débito,renegociação,Dívida,Instituto Nacional do Seguro Social (INSS),Fundo de Garantia do Tempo de Serviço (FGTS),Precatório,Prefeitura,Administração municipal,Diário da Câmara dos Deputados,Publicação,Relatoria,Presidente de Comissão,Nomeação",4256839,1,"O Deputado pediu ao Presidente da Câmara, Hugo Motta, a imediata instalação da Comissão Especial da Proposta de Emenda à Constituição nº 66, de 2023, que institui limite para o pagamento de precatórios pelos Municípios, abre novo prazo de parcelamento especial de débitos dos Municípios com seus regimes próprios de previdência social e com o Regime Geral de Previdência Social. Explicou que a proposição trata da renegociação de dívidas dos Municípios com o Instituto Nacional do Seguro Social (INSS), o Fundo de Garantia do Tempo de Serviço (FGTS) e os precatórios, sendo essencial para aliviar a grave situação financeira vivida por grande parte das Prefeituras. Destacou que a Comissão já foi publicada no Diário da Câmara e aguarda apenas a nomeação da Presidência e da Relatoria para avançar.",BC_4256839_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Eli Borges,PL,TO,02/04/2025 17:16:00,"Projeto de lei ordinária,Princípio da reciprocidade,Agronegócio,Setor agropecuário",4256842,1,"O Deputado expressou preocupação com a maturidade do Projeto de Lei nº 2.088, de 2023, destacando o risco de se conceder um ""cheque em branco"" ao Governo e alertando para possíveis inseguranças na aplicação da lei. Reconheceu a relevância da matéria e sua intenção de preservar o País e informou que defendeu, inicialmente, o adiamento da votação para permitir maior amadurecimento do tema. No entanto, atendeu ao apelo do setor agropecuário, que classificou como essencial à economia nacional, alinhando-se à posição de seu partido em favor da votação ainda na data.",BC_4256842_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Lindbergh Farias,PT,RJ,02/04/2025 17:20:00,"Orientação de bancada,Requerimento de adiamento da discussão,Projeto de lei ordinária,Federação Brasil da Esperança (FE BRASIL),Voto contrário
Partido Liberal (PL),atuação,Obstrução parlamentar,Ideologia política,anistia",4256856,1,"O Deputado orientou a bancada na votação do requerimento de adiamento da discussão do Projeto de Lei nº&nbsp;2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira. Além disso, apontou a contradição do Partido Liberal (PL) entre a retórica de apoio ao agro e a prática de atrasar a tramitação com ""kit obstrução"", e lembrou que o relatório da Senadora Tereza Cristina foi aprovado por unanimidade no Senado. Acusou os opositores de priorizarem pautas ideológicas, como a anistia, em detrimento dos interesses nacionais. Encerrou elogiando o consenso articulado pela Senadora com o Ministério das Relações Exteriores e o Ministério do Desenvolvimento, Indústria, Comércio e Serviços.",BC_4256856_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Sóstenes Cavalcante,PL,RJ,02/04/2025 17:20:00,"Orientação de bancada,Requerimento de adiamento da discussão,Projeto de lei ordinária,Partido Liberal (PL),Voto favorável
Projeto de lei ordinária,anistia,Conservadorismo,Presidente da República,Estados Unidos
Projeto de lei ordinária,Princípio da reciprocidade,Reciprocidade de tratamento,Agronegócio",4256857,1,"O Deputado orientou a bancada na votação do requerimento de adiamento da discussão do Projeto de Lei nº&nbsp;2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira. Além disso, defendeu que o Projeto de Lei da Anistia fosse pautado com urgência. Também afirmou que o Partido Liberal (PL) se identifica com pautas da direita e conservadoras, incluindo o apoio a figuras como Donald Trump. Por fim, reforçou que, embora o requerimento faça parte da obstrução, o PL é favorável ao mérito do projeto em discussão, que envolve a defesa do agronegócio, criticando o Governo Lula por não valorizar o setor.",BC_4256857_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Rodrigo de Castro,UNIÃO,MG,02/04/2025 17:24:00,"Orientação de bancada,Requerimento de adiamento da discussão,Projeto de lei ordinária,União Brasil,Voto contrário
Política agrícola,Senadora,Ministério da Agricultura e Pecuária,Governo federal,Agronegócio,Ideologia,Interesse nacional,Projeto de lei ordinária,Princípio da reciprocidade,Reciprocidade de tratamento",4256863,1,"O Deputado orientou a bancada na votação do requerimento de adiamento da discussão do Projeto de Lei nº&nbsp;2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira. Na oportunidade, elogiou o trabalho de articulação da Senadora Tereza Cristina com o Governo, o setor econômico e, em especial, o agronegócio, que considera o mais ameaçado. Por fim, reforçou que não seria momento para disputas ideológicas, mas sim para união em defesa dos interesses do Brasil.",BC_4256863_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Afonso Motta,PDT,RS,02/04/2025 17:24:00,"Orientação de bancada,Requerimento de adiamento da discussão,Projeto de lei ordinária,Partido Democrático Trabalhista (PDT),Voto contrário
Princípio da reciprocidade,Soberania nacional,Projeto de lei ordinária,Reciprocidade de tratamento",4256866,1,"O Deputado orientou a bancada na votação do requerimento de adiamento da discussão do Projeto de Lei nº&nbsp;2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira. Aproveitou para ressaltar o princípio da reciprocidade e a soberania nacional.",BC_4256866_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Jonas Donizette,PSB,SP,02/04/2025 17:24:00,"Orientação de bancada,Requerimento de adiamento da discussão,Projeto de lei ordinária,Partido Socialista Brasileiro (PSB) (1987),Voto contrário
Atuação parlamentar,Presidente da Câmara dos Deputados,Senado Federal,Soberania nacional,Projeto de lei ordinária,Princípio da reciprocidade,Reciprocidade de tratamento",4256867,1,"O Deputado orientou a bancada na votação do requerimento de adiamento da discussão do Projeto de Lei nº&nbsp;2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira. Além disso, elogiou a condução equilibrada do Presidente da Câmara, Hugo Motta, especialmente pela articulação com o Senado. Ressaltou que o Brasil precisa dar respostas rápidas a questões que afetam a população e que o projeto em pauta afirma a soberania nacional nas decisões comerciais.",BC_4256867_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Talíria Petrone,PSOL,RJ,02/04/2025 17:28:00,"Orientação de bancada,Requerimento de adiamento da discussão,Projeto de lei ordinária,Federação PSOL REDE,Voto contrário
Projeto de lei ordinária,Princípio da reciprocidade,Reciprocidade de tratamento,Soberania nacional,Ideologia política",4256888,1,"A Deputada orientou a bancada na votação do requerimento de adiamento da discussão do Projeto de Lei nº&nbsp;2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira. Na oportunidade, ressaltou que interesses ideológicos não devem estar acima da soberania nacional. Afirmou que adiar a votação da matéria seria ser contra a indústria e a economia brasileiras, e reforçou que patriotismo verdadeiro significa proteger os interesses do País, não alinhar-se a líderes estrangeiros como Donald Trump.",BC_4256888_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Pastor Sargento Isidório,AVANTE,BA,02/04/2025 17:28:00,"Orientação de bancada,Requerimento de adiamento da discussão,Projeto de lei ordinária,Avante,Voto contrário
Criança com deficiência,Autismo,Política pública,Pessoa com transtorno do espectro autista",4256889,1,"O Deputado orientou a bancada na votação do requerimento de adiamento da discussão do Projeto de Lei nº&nbsp;2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira. Na oportunidade, ressaltou que o Brasil é próspero e tem um Governo preocupado com a maioria da população. Aproveitou para chamar atenção à necessidade de maior cuidado com crianças autistas e suas famílias, defendendo políticas públicas mais eficazes para esse público especial.",BC_4256889_1_1
